Проект,Категории,Цена,Заявки
"Копирайтер на сайт тематики ""Печи и камины""","<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,2 заявки
Требуется создать приложение для андроид,"<a class=""text-muted"" href=""/jobs/?category_id=28"">ПО для мобильных устройств</a>",None,2 заявки
Доработка сайта на полусамописной Джумле,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,3 заявки
Шаблонный сайт хтмл,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",$8,16 заявок
Создания фильтра на сайте WP,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,нет заявок
Креолизованный текст.,"<a class=""text-muted"" href=""/jobs/?category_id=47"">Дипломы/Курсовые/Рефераты</a>",None,1 заявка
Проект: модернизация системы сопоставления данных,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,2 заявки
Сделать шаблонный сайт из нескольких страниц,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,17 заявок
"Перевести 3D модель (.igs/.stp/.stl) в формат, поддерживаемый Cinema4D","<a class=""text-muted"" href=""/jobs/?category_id=12"">3D-графика</a>",None,4 заявки
Сделать дизайн свадебной монограммы,"<a class=""text-muted"" href=""/jobs/?category_id=7"">Знаки/Логотипы</a>",$10,None
Постинг ссылок на форумах тематики кино,"<a class=""text-muted"" href=""/jobs/?category_id=89"">Социальные сети (SMM/SMO)</a>",$5,1 заявка
Дизайн униформы для сотрудников супермаркета,"<a class=""text-muted"" href=""/jobs/?category_id=19"">Фирменный стиль</a>",None,4 заявки
Создать сайт одностраничник продажи одного товара,"<a class=""text-muted"" href=""/jobs/?category_id=58"">Сайты «под ключ»</a>",$10,9 заявок
Требуется доработать логотип и разработать визитки.,"<a class=""text-muted"" href=""/jobs/?category_id=7"">Знаки/Логотипы</a>",None,26 заявок
Вывод фильтров в категорию над товарами. Shop-script 7,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,1 заявка
Дизайн,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",None,42 заявки
Скрипты обновления главной страницы и сверки файлов,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,2 заявки
CRM/ERP система для интернет-магазина и производства,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,5 заявок
Нужно натянуть готовый шаблон на opencart,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,1 заявка
Курсовая по информатике,"<a class=""text-muted"" href=""/jobs/?category_id=47"">Дипломы/Курсовые/Рефераты</a>",None,1 заявка
Дизайн буклета,"<a class=""text-muted"" href=""/jobs/?category_id=18"">Дизайн продукции</a>",$30,26 заявок
Провести доработку сайта на magento,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,нет заявок
Обновление сайта,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,3 заявки
Уникальные картинки для постов в блог,"<a class=""text-muted"" href=""/jobs/?category_id=11"">Иллюстрации/Рисунки</a>",None,12 заявок
Сделать сортировку товаров на Joomla 2.5,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,3 заявки
Создать мобильную версию сайта,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,13 заявок
Корректировка верстки сайта,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,4 заявки
Джумла 3. Работа с фотогалереей и загрузчиком фото,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,11 заявок
Протестить сайт на его функциональность и т.д.,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,4 заявки
Написание отзывов с разных аккаунтов,"<a class=""text-muted"" href=""/jobs/?category_id=35"">Наполнение сайтов</a>",None,5 заявок
"Статьи на тематику ""Обо всем""","<a class=""text-muted"" href=""/jobs/?category_id=45"">Новости/Статьи/Обзоры</a>",$300,24 заявки
Видео с планшета или со смартфона,"<a class=""text-muted"" href=""/jobs/?category_id=41"">Видеомонтаж</a>",None,7 заявок
